iter	Passed	Remaining
0	1	148
1	2	130
2	3	122
3	4	111
4	5	110
5	7	113
6	8	115
7	9	113
8	11	112
9	12	110
10	13	109
11	14	107
12	15	105
13	16	103
14	18	102
15	19	101
16	20	99
17	21	100
18	23	100
19	24	99
20	25	97
21	27	95
22	28	94
23	29	92
24	30	91
25	31	90
26	32	88
27	33	87
28	35	85
29	36	84
30	37	83
31	38	82
32	39	80
33	41	79
34	42	78
35	43	77
36	44	76
37	45	74
38	46	73
39	48	72
40	48	70
41	49	68
42	50	66
43	51	65
44	52	63
45	53	62
46	53	60
47	56	61
48	58	60
49	60	60
50	65	62
51	85	78
52	86	77
53	89	75
54	90	73
55	91	71
56	93	70
57	95	68
58	96	67
59	100	66
60	101	65
61	103	63
62	104	61
63	106	59
64	107	58
65	109	56
66	110	54
67	112	53
68	114	51
69	115	49
70	116	47
71	118	46
72	120	44
73	121	42
74	122	40
75	124	39
76	127	38
77	128	36
78	130	34
79	131	32
80	132	31
81	134	29
82	135	27
83	137	26
84	138	24
85	140	22
86	141	21
87	142	19
88	143	17
89	144	16
90	145	14
91	147	12
92	150	11
93	152	9
94	154	8
95	156	6
96	158	4
97	159	3
98	160	1
99	165	0
