iter	Passed	Remaining
0	148	148162
1	150	74877
2	153	50988
3	156	38902
4	158	31492
5	160	26579
6	161	22975
7	178	22191
8	181	19940
9	187	18551
10	189	17017
11	190	15712
12	193	14656
13	194	13703
14	196	12877
15	198	12187
16	199	11550
17	201	10983
18	203	10483
19	204	10024
20	206	9605
21	209	9298
22	212	9011
23	214	8727
24	216	8455
25	218	8174
26	219	7914
27	224	7796
28	233	7806
29	234	7586
30	237	7424
31	240	7278
32	242	7105
33	244	6939
34	245	6779
35	248	6644
36	249	6500
37	257	6506
38	258	6369
39	260	6251
40	262	6147
41	264	6027
42	265	5910
43	271	5894
44	272	5790
45	274	5691
46	276	5598
47	277	5500
48	278	5405
49	279	5318
50	283	5273
51	285	5206
52	286	5125
53	288	5049
54	289	4973
55	290	4903
56	292	4835
57	293	4767
58	295	4705
59	298	4680
60	300	4626
61	301	4567
62	303	4508
63	304	4450
64	305	4399
65	307	4348
66	308	4296
67	309	4247
68	311	4198
69	314	4177
70	315	4132
71	317	4087
72	318	4044
73	320	4008
74	322	3971
75	323	3936
76	325	3901
77	329	3889
78	330	3852
79	331	3815
80	333	3779
81	334	3745
82	335	3704
83	336	3671
84	338	3647
85	340	3619
86	344	3613
87	345	3583
88	347	3553
89	350	3546
90	352	3517
91	353	3488
92	354	3460
93	356	3434
94	360	3438
95	362	3412
96	364	3390
97	365	3365
98	367	3340
99	368	3316
100	370	3294
101	371	3273
102	375	3271
103	377	3251
104	379	3231
105	380	3211
106	382	3192
107	384	3172
108	385	3154
109	387	3136
110	390	3131
111	392	3111
112	393	3090
113	395	3070
114	396	3051
115	397	3031
116	398	3010
117	400	2992
118	401	2975
119	403	2956
120	406	2952
121	407	2932
122	409	2919
123	411	2904
124	413	2892
125	414	2877
126	415	2859
127	417	2842
128	418	2826
129	421	2822
130	423	2808
131	425	2795
132	426	2782
133	428	2770
134	430	2755
135	431	2741
136	432	2726
137	434	2711
138	435	2698
139	437	2689
140	439	2676
141	440	2659
142	441	2645
143	443	2636
144	444	2622
145	446	2609
146	447	2595
147	448	2582
148	449	2569
149	453	2570
150	455	2558
151	456	2546
152	457	2534
153	459	2523
154	460	2510
155	461	2498
156	462	2485
157	464	2474
158	465	2462
159	468	2460
160	469	2446
161	470	2435
162	471	2423
163	473	2412
164	474	2401
165	476	2391
166	477	2381
167	478	2370
168	479	2360
169	481	2353
170	484	2346
171	485	2336
172	486	2326
173	487	2316
174	489	2306
175	490	2295
176	491	2285
177	492	2274
178	493	2264
179	495	2257
180	498	2256
181	500	2247
182	501	2238
183	502	2230
184	504	2221
185	505	2212
186	507	2205
187	508	2197
188	510	2188
189	511	2180
190	514	2181
191	516	2174
192	518	2167
193	521	2165
194	522	2157
195	530	2174
196	531	2166
197	533	2159
198	534	2151
199	536	2144
200	537	2136
201	539	2131
202	541	2124
203	545	2127
204	546	2120
205	548	2113
206	549	2106
207	551	2099
208	552	2092
209	554	2085
210	555	2078
211	557	2070
212	560	2070
213	562	2064
214	571	2085
215	572	2078
216	573	2071
217	576	2069
218	578	2063
219	580	2057
220	582	2052
221	584	2047
222	585	2040
223	587	2034
224	588	2028
225	592	2027
226	594	2023
227	595	2016
228	597	2010
229	599	2006
230	601	2003
231	603	1997
232	620	2041
233	622	2036
234	626	2040
235	628	2034
236	630	2029
237	632	2023
238	633	2017
239	635	2012
240	637	2006
241	640	2006
242	642	2000
243	644	1995
244	646	1991
245	647	1986
246	649	1981
247	661	2006
248	663	2000
249	664	1994
250	666	1989
251	668	1983
252	669	1977
253	671	1972
254	673	1967
255	676	1965
256	678	1960
257	679	1954
258	681	1948
259	683	1944
260	693	1962
261	695	1957
262	697	1955
263	699	1950
264	701	1944
265	705	1946
266	708	1944
267	709	1939
268	711	1933
269	713	1927
270	714	1922
271	716	1916
272	721	1920
273	723	1917
274	725	1912
275	727	1908
276	729	1902
277	730	1896
278	732	1891
279	736	1893
280	738	1889
281	742	1890
282	743	1884
283	745	1878
284	746	1872
285	749	1871
286	751	1866
287	752	1860
288	753	1854
289	755	1849
290	756	1844
291	758	1838
292	764	1845
293	766	1839
294	767	1834
295	769	1829
296	770	1823
297	771	1818
298	774	1814
299	776	1812
300	778	1807
301	780	1803
302	782	1799
303	783	1794
304	785	1789
305	790	1792
306	792	1788
307	796	1789
308	798	1784
309	799	1779
310	801	1774
311	805	1776
312	807	1772
313	808	1767
314	810	1762
315	811	1757
316	813	1752
317	815	1748
318	816	1743
319	821	1746
320	823	1741
321	825	1737
322	827	1733
323	829	1730
324	831	1725
325	836	1730
326	838	1726
327	840	1722
328	842	1717
329	843	1713
330	845	1709
331	847	1705
332	850	1703
333	852	1698
334	853	1694
335	854	1689
336	856	1684
337	857	1679
338	859	1674
339	860	1670
340	861	1665
341	863	1660
342	866	1658
343	867	1654
344	871	1654
345	872	1649
346	874	1645
347	875	1640
348	876	1635
349	878	1630
350	881	1629
351	882	1625
352	884	1620
353	885	1616
354	887	1611
355	888	1607
356	889	1602
357	891	1598
358	892	1593
359	893	1588
360	894	1583
361	897	1581
362	899	1577
363	900	1573
364	903	1571
365	904	1567
366	906	1563
367	907	1559
368	909	1554
369	911	1552
370	913	1548
371	914	1544
372	915	1539
373	917	1535
374	918	1530
375	919	1525
376	920	1521
377	921	1516
378	922	1511
379	923	1507
380	925	1503
381	928	1502
382	930	1498
383	931	1494
384	932	1490
385	934	1486
386	935	1482
387	937	1478
388	938	1473
389	939	1469
390	940	1464
391	943	1463
392	944	1459
393	945	1454
394	947	1450
395	948	1446
396	949	1442
397	951	1438
398	952	1435
399	954	1431
400	955	1427
401	958	1426
402	960	1422
403	962	1419
404	963	1416
405	965	1412
406	967	1409
407	969	1406
408	970	1402
409	971	1398
410	976	1399
411	977	1395
412	979	1391
413	980	1387
414	981	1383
415	983	1380
416	984	1376
417	986	1373
418	994	1379
419	996	1376
420	998	1373
421	1000	1370
422	1001	1366
423	1006	1366
424	1008	1363
425	1011	1363
426	1013	1359
427	1014	1355
428	1016	1352
429	1020	1352
430	1022	1349
431	1023	1345
432	1024	1342
433	1026	1338
434	1028	1335
435	1029	1332
436	1031	1328
437	1032	1324
438	1033	1321
439	1035	1318
440	1037	1315
441	1039	1311
442	1040	1308
443	1042	1305
444	1044	1303
445	1051	1305
446	1052	1302
447	1054	1299
448	1056	1296
449	1058	1293
450	1059	1289
451	1063	1289
452	1065	1286
453	1067	1283
454	1068	1280
455	1070	1277
456	1072	1274
457	1074	1271
458	1079	1272
459	1081	1269
460	1082	1265
461	1084	1263
462	1088	1262
463	1089	1259
464	1091	1255
465	1095	1255
466	1096	1251
467	1098	1248
468	1100	1245
469	1102	1242
470	1103	1239
471	1105	1236
472	1107	1233
473	1112	1234
474	1113	1231
475	1115	1228
476	1117	1225
477	1119	1222
478	1120	1219
479	1122	1215
480	1134	1224
481	1136	1221
482	1138	1218
483	1141	1216
484	1143	1213
485	1144	1210
486	1146	1207
487	1147	1204
488	1149	1201
489	1152	1199
490	1154	1196
491	1157	1194
492	1159	1192
493	1161	1189
494	1162	1186
495	1164	1183
496	1165	1179
497	1167	1176
498	1193	1198
499	1195	1195
500	1196	1191
501	1198	1188
502	1200	1185
503	1201	1182
504	1203	1179
505	1206	1177
506	1207	1174
507	1209	1171
508	1210	1168
509	1212	1164
510	1213	1161
511	1215	1158
512	1217	1155
513	1220	1153
514	1222	1151
515	1224	1148
516	1237	1155
517	1238	1152
518	1240	1149
519	1241	1146
520	1243	1143
521	1244	1139
522	1246	1136
523	1248	1133
524	1250	1130
525	1251	1127
526	1253	1124
527	1255	1121
528	1256	1118
529	1259	1116
530	1260	1113
531	1262	1110
532	1264	1107
533	1265	1104
534	1267	1101
535	1278	1106
536	1279	1103
537	1280	1099
538	1293	1106
539	1294	1103
540	1296	1099
541	1297	1096
542	1299	1093
543	1300	1090
544	1301	1086
545	1303	1083
546	1304	1080
547	1308	1078
548	1323	1087
549	1328	1086
550	1329	1083
551	1331	1080
552	1332	1077
553	1333	1073
554	1335	1070
555	1336	1067
556	1339	1065
557	1341	1062
558	1344	1060
559	1346	1057
560	1347	1054
561	1348	1051
562	1351	1049
563	1358	1049
564	1359	1046
565	1360	1043
566	1362	1040
567	1363	1036
568	1381	1046
569	1384	1044
570	1386	1041
571	1387	1038
572	1389	1035
573	1390	1032
574	1392	1028
575	1393	1025
576	1394	1022
577	1396	1019
578	1397	1016
579	1400	1013
580	1401	1010
581	1402	1007
582	1404	1004
583	1405	1001
584	1407	998
585	1408	995
586	1409	991
587	1411	988
588	1420	991
589	1421	988
590	1423	984
591	1424	981
592	1425	978
593	1427	975
594	1430	973
595	1431	970
596	1453	980
597	1454	977
598	1455	974
599	1457	971
600	1458	968
601	1460	965
602	1462	963
603	1465	960
604	1484	969
605	1485	966
606	1487	962
607	1488	959
608	1503	965
609	1504	962
610	1506	958
611	1507	955
612	1508	952
